,Patient,Direction,Magnitude,Cz_1,Cz_2,Cz_3,Cz_4,Agonist_1,Agonist_2,Agonist_3,Agonist_4,Agonist_5,Agonist_6,Agonist_7,Agonist_8
10,HOA03,270,7.5,4.447860193,0.019744809,2.1e-09,0.116302736,3.603150792,0.030870573,0.00073547,0.097347425,1.741312439,4.63e-10,1.04e-06,0.159895664
11,HOA03,270,10,4.124030063,0.016176491,2.35e-09,0.115546126,3.95198516,0.017958696,0.014561215,0.125152519,1.698666533,5.04e-12,0.003850637,0.25
12,HOA04,90,5,7.268110239,2.7e-09,0.039999998,0.022000212,5.250177222,0.011645154,0.040897017,0.126540443,2.668910542,2.84e-09,0.030129233,0.173272328
13,HOA04,90,7.5,5.214525478,0.006266645,0.03999999,0.099999994,3.671538405,0.017147567,0.035162047,0.10834484,2.010834855,3e-10,0.016291085,0.179643072
14,HOA04,90,10,3.980749168,0.005500462,0.034022805,0.094840382,4.270919965,0.006667464,0.047208934,0.105139319,1.800641721,1.83e-09,0.044853314,0.16831319
15,HOA04,270,5,9.350469434,0.022092071,0.039998849,0.099999838,7.983078602,0.003723385,0.039999992,0.131764875,3.154801294,2.59e-08,0.003873946,0.278531892
16,HOA04,270,7.5,3.468092069,0.010902026,0.039999999,0.1,4.520194993,0.01037184,0.027655394,0.116633681,2.025361134,2.32e-10,0.000353894,0.269738156
17,HOA04,270,10,3.262848985,0.005387838,0.018322545,0.099999995,4.490939559,0.005711158,0.039999998,0.11943174,2.019694069,1.34e-10,0.014689277,0.281763432
18,HOA05,90,5,6.96454775,0.01523757,0.023213727,0.160343808,6.568483112,0.012273421,0.049136096,0.124192548,3.084431062,4.61e-09,0.002332883,0.175603851
19,HOA05,90,7.5,4.991867743,3.96e-06,1.45e-05,0.154165591,4.972389544,0.009054816,0.054031901,0.120384911,2.822313366,5e-07,0.001775347,0.181806862
20,HOA05,90,10,3.652493118,0.000731964,0.001335347,0.142086255,3.631549478,0.010670209,0.043317308,0.118284372,1.915431159,1e-06,0.000284284,0.175575071
21,HOA05,270,5,4.273106423,2.48e-07,8.18e-07,0.170819103,2.492990881,0.003729798,0.030153962,0.119452554,0.820335338,2.8e-07,0.003057456,0.180149053
22,HOA05,270,7.5,3.932559804,0.002222387,0.006686381,0.148174519,3.061687752,0.00186958,0.018085891,0.164873656,1.921375749,2.65e-10,0.001434427,0.299999994
23,HOA05,270,10,3.72266302,1.25e-06,2.48e-06,0.149311134,3.893644651,0.001621555,0.011606823,0.170623244,1.211579381,0.000195955,0.001470944,0.299999948
24,HOA06,90,5,3.516315714,0.021634231,0.035875405,0.168543763,6.177631687,0.008855902,0.059999993,0.137606713,3.688816313,2.18e-10,0.046625693,0.203304899
25,HOA06,90,7.5,1.163142592,2.11e-10,1.6e-09,0.099999996,4.859373916,0.01236644,0.059999995,0.13159859,2.366604082,2.07e-10,0.054337157,0.194087758
26,HOA06,90,10,2.692337078,2.59e-11,0.003083006,0.02,3.523957564,0.013064529,0.048460357,0.130395282,2.320509183,1e-06,0.053329665,0.191383009
27,HOA06,270,5,6.845187749,0.021193405,0.051545242,0.201947145,2.841787248,0.00398679,0.039999998,0.182493289,1.990889274,1.51e-11,0.020051745,0.3
28,HOA06,270,7.5,4.465682998,0.011862552,0.021127757,0.147521222,3.730402539,0.005923824,0.039999999,0.194327394,1.638309318,1.21e-09,0.01411957,0.299999991
29,HOA06,270,10,2.738940579,0.002703578,0.001888799,0.168475137,3.825818724,0.006066004,0.039999999,0.186637226,0.991299323,9.86e-09,0.010811241,0.299999969
30,HOA07,90,5,5.064770223,0.019068587,6.88e-09,0.114702053,7.346167995,0.025791727,0.059999995,0.10245052,2.384226324,4.85e-12,0.059999994,0.241213443
31,HOA07,90,7.5,3.53826687,0.013066128,1.96e-08,0.11583855,4.136733786,0.031064738,0.040393593,0.096030298,1.901431636,6.14e-11,0.059999997,0.249999999
32,HOA07,90,10,2.719283628,0.016327917,2.26e-09,0.109999999,3.444507067,0.028596895,0.024744985,0.097177112,1.412526429,1.09e-11,0.059999999,0.249999999
33,HOA07,270,5,5.670116851,0.027500165,3.61e-09,0.137493306,3.639347251,0.024653089,0.044231396,0.097735888,2.21621917,3.87e-12,0.029328078,0.187438064
